Unit_name,Castle,Level,Attack,Defence,Minimum Damage,Maximum Damage,Health,Speed,Growth,AI_Value,Gold,Additional_item,Special Ablility
 Ancient Behemoth,Stronghold,7+,19,19,30,50,300,9,1,6168,3000 ,"Crystal, 1  ",Defense -80% to enemy target
 Gnoll,Fortress,1,3,5,2,3,6,4,12,56,50 ,0,
 Gnoll Marauder,Fortress,1+,4,6,2,3,6,5,12,90,70 ,0,
 Lizardman,Fortress,2,5,6,2,3,14,4,9,126,110 ,0,Ranged (12 shots)
 Lizard Warrior,Fortress,2+,6,8,2,5,15,5,9,156,140 ,0,Ranged (24 shots)
 Serpent Fly,Fortress,3,7,9,2,5,20,9,8,268,220 ,0,"Flying, Dispel"
 Dragon Fly,Fortress,3+,8,10,2,5,20,13,8,312,240 ,0,"Flying, Dispel, Weakness"
 Basilisk,Fortress,4,11,11,6,10,35,5,4,552,325 ,0,Petrify
 Greater Basilisk,Fortress,4+,12,12,6,10,40,7,4,714,400 ,0,Petrify
 Gorgon,Fortress,5,10,14,12,16,70,5,3,890,525 ,0,
 Mighty Gorgon,Fortress,5+,11,16,12,16,70,6,3,1028,600 ,0,Death stare 10% chance/unit
 Wyvern,Fortress,6,14,14,14,18,70,7,2,1350,800 ,0,Flying
 Wyvern Monarch,Fortress,6+,14,14,18,22,70,11,2,1518,1100 ,0,"Flying, Poison"
 Hydra,Fortress,7,16,18,25,45,175,5,1,4120,2200 ,0,"No enemy retaliation, Attack all adjacent enemies"
 Chaos Hydra,Fortress,7+,18,20,25,45,250,7,1,5931,3500 ,"Sulfur, 1  ","No enemy retaliation, Attack all adjacent enemies"
 Pixie,Conflux,1,2,2,1,2,3,7,20,55,25 ,0,Flying
 Sprite,Conflux,1+,2,2,1,3,3,9,20,95,30 ,0,"Flying, No enemy retaliation"
 Air Elemental,Conflux,2,9,9,2,8,25,7,6,356,250 ,0,"Elemental, Lightning vulnerability, Immune to Meteor Shower"
 Storm Elemental,Conflux,2+,9,9,2,8,25,8,6,486,275 ,0,"Ranged (24 shots), Elemental, Lightning vulnerability, Immune to Meteor Shower, Casts Protection from Air"
 Water Elemental,Conflux,3,8,10,3,7,30,5,6,315,300 ,0,"Elemental, Vulnerable to Fireball, Inferno and Armageddon, Ice immunity"
 Ice Elemental,Conflux,3+*,8,10,3,7,30,6,6,380,375 ,0,"Ranged (24 shots), Elemental, Vulnerable to Fireball, Inferno and Armageddon, Ice immunity, Casts Protection from Water"
 Fire Elemental,Conflux,4,10,8,4,6,35,6,5,345,350 ,0,"Elemental, Ice vulnerability, Fire immunity"
 Energy Elemental,Conflux,4+*,12,8,4,6,35,8,5,470,400 ,0,"Elemental, Flying, Ice vulnerability, Fire immunity, Casts Protection from Fire"
 Earth Elemental,Conflux,5,10,10,4,8,40,4,4,330,400 ,0,"Elemental, Meteor Shower vulnerability, Lightning and Armageddon immunity"
 Magma Elemental,Conflux,5+*,11,11,6,10,40,6,4,490,500 ,0,"Elemental, Meteor Shower vulnerability, Lightning and Armageddon immunity, Casts Protection from Earth"
 Psychic Elemental,Conflux,6,15,13,10,20,75,7,2,1669,750 ,0,"Elemental, No enemy retaliation, Attacks adjacent hexes"
 Magic Elemental,Conflux,6+,15,13,15,25,80,9,2,2012,800 ,0,"Elemental, No enemy retaliation, Attacks adjacent hexes, Spell immunity"
 Firebird,Conflux,7,18,18,30,40,150,15,2,4547,1500 ,0,"Flying, Breath attack, Fire immunity"
 Phoenix,Conflux,7+,21,18,30,40,200,21,2,6721,2000 ,"Mercury, 1  ","Flying, Breath attack, Fire immunity, Rebirth"
 Peasant,Neutral,1,1,1,1,1,1,3,25,15,10 ,0,
 Halfling,Neutral,1,4,2,1,3,4,5,15,75,40 ,0,"Ranged (24 shots), Positive Luck"
 Boar,Neutral,2,6,5,2,3,15,6,8,145,150 ,0,
 Rogue,Neutral,2,8,3,2,4,10,6,8,135,100 ,0,Spying
 Mummy,Neutral,3,7,7,3,5,30,5,7,270,300 ,0,"Undead, Curse"
 Nomad,Neutral,3,9,8,2,6,30,7,7,345,200 ,0,Sandwalker
 Sharpshooter,Neutral,4,12,10,8,10,15,9,4,585,400 ,0,"Ranged (32 shots), No range and obstacle penalty"
 Troll,Neutral,5,14,7,10,15,40,7,3,1024,500 ,0,Regeneration
 Gold Golem,Neutral,5,11,12,8,10,50,5,3,600,500 ,0,"Unliving, Spell Damage Resistance +85%"
 Diamond Golem,Neutral,6,13,12,10,14,60,5,2,775,750 ,0,"Unliving, Spell Damage Resistance +95%"
 Enchanter,Neutral,6,17,12,14,14,30,9,2,1210,750 ,0,"Ranged (32 shots), No melee and obstacle penalty, Spellcaster"
 Faerie Dragon,Neutral,7,20,20,20,30,500,15,1,19580,10000 ,"Gem, 8  ","Dragon, Flying, Spellcaster, Magic Mirror"
 Rust Dragon,Neutral,7,30,30,50,50,750,17,1,26433,15000 ,"Sulfur,14  ","Dragon, Flying, Breath, Acid breath"
 Crystal Dragon,Neutral,7,40,40,60,75,800,16,1,39338,20000 ,"Crystal,10  ","Dragon, Crystal generation, Resistance +20%, Unliving"
 Azure Dragon,Neutral,7,50,50,70,80,1000,19,1,78845,30000 ,"Mercury,20  ","Dragon, Flying, Breath, Fear, Resist lvl 1–3 spells, Resist Fear"
